Actual,Predicted
73,57.532258968975064
52,56.55099717502294
73,62.438567938735666
62,43.794593853645374
82,67.34487690849627
77,68.32613870244839
72,66.36361511454416
74,80.10128022987385
92,91.87642175729928
72,54.5884735871187
51,56.55099717502294
57,43.794593853645374
77,83.0450656117302
78,77.15749484801748
76,68.32613870244839
87,77.15749484801748
87,66.36361511454416
82,67.34487690849627
37,36.92576129598053
78,79.12001843592172
95,97.76399252101203
49,55.56973538107082
92,92.8576835512514
85,73.23244767220899
38,41.83207026574113
66,67.34487690849627
41,45.75711744154961
86,93.83894534520354
78,76.17623305406536
76,70.28866229035263
60,80.10128022987385
83,88.93263637544294
64,71.26992408430476
96,93.83894534520354
58,55.56973538107082
48,50.66342641131022
60,80.10128022987385
45,54.5884735871187
79,76.17623305406536
43,45.75711744154961
91,96.78273072705989
84,82.06380381777808
91,90.89515996334717
45,39.869546677836894
50,50.66342641131022
63,55.56973538107082
